metric,model_id,story_id,emotion,is_estimable,missing_cells,SS_persona,SS_temperature,SS_persona_x_temperature,interaction_burden,separability_share,total_SS
score,deepseek/deepseek-v3.2,T3,sadness,True,0,9244.6875,13.6875,380.0625,0.039432,0.960568,9638.4375
score,deepseek/deepseek-v3.2,T3,anger,True,0,1838.75,82.25,362.75,0.15884,0.84116,2283.75
score,google/gemini-2.5-pro,T3,surprise,True,0,5652.0,57.5,292.5,0.048734,0.951266,6002.0
score,google/gemini-2.5-pro,T1,interest,True,0,2992.1875,96.6875,282.5625,0.083811,0.916189,3371.4375
score,x-ai/grok-4.20,T3,sadness,True,0,11576.1875,19.1875,278.5625,0.02346,0.97654,11873.9375
score,deepseek/deepseek-v3.2,T3,surprise,True,0,4887.5,216.5,218.0,0.040962,0.959038,5322.0
score,meta-llama/llama-4-maverick,T3,anger,True,0,297.0,51.0,195.0,0.359116,0.640884,543.0
score,x-ai/grok-4.20,T3,anger,True,0,3684.58,80.78,194.24,0.049055,0.950945,3959.6
score,deepseek/deepseek-v3.2,T1,surprise,True,0,5472.1875,24.1875,191.5625,0.033679,0.966321,5687.9375
score,google/gemini-2.5-pro,T3,interest,True,0,8468.1875,42.1875,176.5625,0.020325,0.979675,8686.9375
score,google/gemini-2.5-pro,T1,surprise,True,0,4797.5,12.5,164.0,0.032971,0.967029,4974.0
score,meta-llama/llama-4-maverick,T3,sadness,True,0,666.75,50.75,136.25,0.15959,0.84041,853.75
score,meta-llama/llama-4-maverick,T1,anger,True,0,235.0,77.0,127.0,0.289294,0.710706,439.0
score,x-ai/grok-4.20,T1,surprise,True,0,4206.5,41.5,119.0,0.02725,0.97275,4367.0
score,google/gemini-2.5-pro,T2,interest,True,0,1512.1875,70.6875,112.5625,0.066391,0.933609,1695.4375
score,deepseek/deepseek-v3.2,T2,surprise,True,0,591.1875,27.1875,101.0625,0.140474,0.859526,719.4375
score,deepseek/deepseek-v3.2,T2,anger,True,0,668.75,216.75,98.25,0.099873,0.900127,983.75
score,deepseek/deepseek-v3.2,T1,interest,True,0,3836.1875,18.1875,92.5625,0.023452,0.976548,3946.9375
score,meta-llama/llama-4-maverick,T1,sadness,True,0,914.75,66.75,92.25,0.085914,0.914086,1073.75
score,deepseek/deepseek-v3.2,T2,interest,True,0,897.6875,6.6875,83.0625,0.084119,0.915881,987.4375
