model_id,story_id,condition_id,persona_id,temperature,temperature_label,emotion,n_attempts,n_valid_scores,mean_score,median_score,sd_score,var_score,min_score,max_score,mean_abs_dev_from_median,n_missing_scores
anthropic/claude-sonnet-4.5,T1,C01,p1,0.1,t01,anger,3,3,8.0,8.0,0.0,0.0,8.0,8.0,0.0,0
anthropic/claude-sonnet-4.5,T1,C01,p1,0.1,t01,interest,3,3,72.0,72.0,0.0,0.0,72.0,72.0,0.0,0
anthropic/claude-sonnet-4.5,T1,C01,p1,0.1,t01,sadness,3,3,15.0,15.0,0.0,0.0,15.0,15.0,0.0,0
anthropic/claude-sonnet-4.5,T1,C01,p1,0.1,t01,surprise,3,3,68.0,68.0,0.0,0.0,68.0,68.0,0.0,0
anthropic/claude-sonnet-4.5,T1,C02,p1,0.4,t04,anger,3,3,8.0,8.0,0.0,0.0,8.0,8.0,0.0,0
anthropic/claude-sonnet-4.5,T1,C02,p1,0.4,t04,interest,3,3,72.0,72.0,0.0,0.0,72.0,72.0,0.0,0
anthropic/claude-sonnet-4.5,T1,C02,p1,0.4,t04,sadness,3,3,15.0,15.0,0.0,0.0,15.0,15.0,0.0,0
anthropic/claude-sonnet-4.5,T1,C02,p1,0.4,t04,surprise,3,3,68.0,68.0,0.0,0.0,68.0,68.0,0.0,0
anthropic/claude-sonnet-4.5,T1,C03,p1,0.7,t07,anger,3,3,8.0,8.0,0.0,0.0,8.0,8.0,0.0,0
anthropic/claude-sonnet-4.5,T1,C03,p1,0.7,t07,interest,3,3,72.0,72.0,0.0,0.0,72.0,72.0,0.0,0
anthropic/claude-sonnet-4.5,T1,C03,p1,0.7,t07,sadness,3,3,15.0,15.0,0.0,0.0,15.0,15.0,0.0,0
anthropic/claude-sonnet-4.5,T1,C03,p1,0.7,t07,surprise,3,3,68.0,68.0,0.0,0.0,68.0,68.0,0.0,0
anthropic/claude-sonnet-4.5,T1,C04,p1,0.9,t09,anger,3,3,8.0,8.0,0.0,0.0,8.0,8.0,0.0,0
anthropic/claude-sonnet-4.5,T1,C04,p1,0.9,t09,interest,3,3,72.0,72.0,0.0,0.0,72.0,72.0,0.0,0
anthropic/claude-sonnet-4.5,T1,C04,p1,0.9,t09,sadness,3,3,15.0,15.0,0.0,0.0,15.0,15.0,0.0,0
anthropic/claude-sonnet-4.5,T1,C04,p1,0.9,t09,surprise,3,3,68.0,68.0,0.0,0.0,68.0,68.0,0.0,0
anthropic/claude-sonnet-4.5,T1,C05,p2,0.1,t01,anger,3,3,8.0,8.0,0.0,0.0,8.0,8.0,0.0,0
anthropic/claude-sonnet-4.5,T1,C05,p2,0.1,t01,interest,3,3,72.0,72.0,0.0,0.0,72.0,72.0,0.0,0
anthropic/claude-sonnet-4.5,T1,C05,p2,0.1,t01,sadness,3,3,15.0,15.0,0.0,0.0,15.0,15.0,0.0,0
anthropic/claude-sonnet-4.5,T1,C05,p2,0.1,t01,surprise,3,3,65.0,65.0,0.0,0.0,65.0,65.0,0.0,0
anthropic/claude-sonnet-4.5,T1,C06,p2,0.4,t04,anger,3,3,8.0,8.0,0.0,0.0,8.0,8.0,0.0,0
anthropic/claude-sonnet-4.5,T1,C06,p2,0.4,t04,interest,3,3,72.0,72.0,0.0,0.0,72.0,72.0,0.0,0
anthropic/claude-sonnet-4.5,T1,C06,p2,0.4,t04,sadness,3,3,15.0,15.0,0.0,0.0,15.0,15.0,0.0,0
anthropic/claude-sonnet-4.5,T1,C06,p2,0.4,t04,surprise,3,3,67.0,68.0,1.414214,3.0,65.0,68.0,1.0,0
anthropic/claude-sonnet-4.5,T1,C07,p2,0.7,t07,anger,3,3,8.0,8.0,0.0,0.0,8.0,8.0,0.0,0
anthropic/claude-sonnet-4.5,T1,C07,p2,0.7,t07,interest,3,3,72.0,72.0,0.0,0.0,72.0,72.0,0.0,0
anthropic/claude-sonnet-4.5,T1,C07,p2,0.7,t07,sadness,3,3,15.0,15.0,0.0,0.0,15.0,15.0,0.0,0
anthropic/claude-sonnet-4.5,T1,C07,p2,0.7,t07,surprise,3,3,66.0,65.0,1.414214,3.0,65.0,68.0,1.0,0
anthropic/claude-sonnet-4.5,T1,C08,p2,0.9,t09,anger,3,3,7.0,8.0,1.414214,3.0,5.0,8.0,1.0,0
anthropic/claude-sonnet-4.5,T1,C08,p2,0.9,t09,interest,3,3,72.0,72.0,0.0,0.0,72.0,72.0,0.0,0
anthropic/claude-sonnet-4.5,T1,C08,p2,0.9,t09,sadness,3,3,15.0,15.0,0.0,0.0,15.0,15.0,0.0,0
anthropic/claude-sonnet-4.5,T1,C08,p2,0.9,t09,surprise,3,3,65.0,65.0,0.0,0.0,65.0,65.0,0.0,0
anthropic/claude-sonnet-4.5,T1,C09,p3,0.1,t01,anger,3,3,15.0,15.0,0.0,0.0,15.0,15.0,0.0,0
anthropic/claude-sonnet-4.5,T1,C09,p3,0.1,t01,interest,3,3,72.0,72.0,0.0,0.0,72.0,72.0,0.0,0
anthropic/claude-sonnet-4.5,T1,C09,p3,0.1,t01,sadness,3,3,28.333333,25.0,4.714045,33.333333,25.0,35.0,3.333333,0
anthropic/claude-sonnet-4.5,T1,C09,p3,0.1,t01,surprise,3,3,68.0,68.0,0.0,0.0,68.0,68.0,0.0,0
anthropic/claude-sonnet-4.5,T1,C10,p3,0.4,t04,anger,3,3,12.666667,15.0,3.299832,16.333333,8.0,15.0,2.333333,0
anthropic/claude-sonnet-4.5,T1,C10,p3,0.4,t04,interest,3,3,72.0,72.0,0.0,0.0,72.0,72.0,0.0,0
anthropic/claude-sonnet-4.5,T1,C10,p3,0.4,t04,sadness,3,3,28.333333,25.0,4.714045,33.333333,25.0,35.0,3.333333,0
anthropic/claude-sonnet-4.5,T1,C10,p3,0.4,t04,surprise,3,3,68.0,68.0,0.0,0.0,68.0,68.0,0.0,0
anthropic/claude-sonnet-4.5,T1,C11,p3,0.7,t07,anger,3,3,11.666667,12.0,2.867442,12.333333,8.0,15.0,2.333333,0
anthropic/claude-sonnet-4.5,T1,C11,p3,0.7,t07,interest,3,3,72.0,72.0,0.0,0.0,72.0,72.0,0.0,0
anthropic/claude-sonnet-4.5,T1,C11,p3,0.7,t07,sadness,3,3,29.333333,28.0,4.189935,26.333333,25.0,35.0,3.333333,0
anthropic/claude-sonnet-4.5,T1,C11,p3,0.7,t07,surprise,3,3,67.0,68.0,1.414214,3.0,65.0,68.0,1.0,0
anthropic/claude-sonnet-4.5,T1,C12,p3,0.9,t09,anger,3,3,9.333333,8.0,1.885618,5.333333,8.0,12.0,1.333333,0
anthropic/claude-sonnet-4.5,T1,C12,p3,0.9,t09,interest,3,3,72.0,72.0,0.0,0.0,72.0,72.0,0.0,0
anthropic/claude-sonnet-4.5,T1,C12,p3,0.9,t09,sadness,3,3,35.0,35.0,8.164966,100.0,25.0,45.0,6.666667,0
anthropic/claude-sonnet-4.5,T1,C12,p3,0.9,t09,surprise,3,3,68.0,68.0,0.0,0.0,68.0,68.0,0.0,0
anthropic/claude-sonnet-4.5,T1,C13,p4,0.1,t01,anger,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
anthropic/claude-sonnet-4.5,T1,C13,p4,0.1,t01,interest,3,3,45.0,45.0,0.0,0.0,45.0,45.0,0.0,0
anthropic/claude-sonnet-4.5,T1,C13,p4,0.1,t01,sadness,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
anthropic/claude-sonnet-4.5,T1,C13,p4,0.1,t01,surprise,3,3,30.0,30.0,0.0,0.0,30.0,30.0,0.0,0
anthropic/claude-sonnet-4.5,T1,C14,p4,0.4,t04,anger,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
anthropic/claude-sonnet-4.5,T1,C14,p4,0.4,t04,interest,3,3,41.666667,45.0,4.714045,33.333333,35.0,45.0,3.333333,0
anthropic/claude-sonnet-4.5,T1,C14,p4,0.4,t04,sadness,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
anthropic/claude-sonnet-4.5,T1,C14,p4,0.4,t04,surprise,3,3,30.0,30.0,4.082483,25.0,25.0,35.0,3.333333,0
anthropic/claude-sonnet-4.5,T1,C15,p4,0.7,t07,anger,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
anthropic/claude-sonnet-4.5,T1,C15,p4,0.7,t07,interest,3,3,45.0,45.0,0.0,0.0,45.0,45.0,0.0,0
anthropic/claude-sonnet-4.5,T1,C15,p4,0.7,t07,sadness,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
