manifest_row,run_id,model_id,provider,language,story_id,persona_id,persona_label,temperature,repetition,prompt_template,response_schema,should_compare_to_human_primary,notes
20,iceccme2026_primary_neutral_v1,openai/gpt-5.4,openrouter,ja,T3,p0,neutral_reader,0.4,1,prompts/iceccme/emotion_eval_user_template_multilingual_json.md,prompts/shared/response_schema.json,True,Review overlap against any simultaneously submitted paper before execution.
21,iceccme2026_primary_neutral_v1,openai/gpt-5.4,openrouter,ja,T3,p0,neutral_reader,0.4,2,prompts/iceccme/emotion_eval_user_template_multilingual_json.md,prompts/shared/response_schema.json,True,Review overlap against any simultaneously submitted paper before execution.
22,iceccme2026_primary_neutral_v1,openai/gpt-5.4,openrouter,ja,T3,p0,neutral_reader,0.4,3,prompts/iceccme/emotion_eval_user_template_multilingual_json.md,prompts/shared/response_schema.json,True,Review overlap against any simultaneously submitted paper before execution.
23,iceccme2026_primary_neutral_v1,openai/gpt-5.4,openrouter,ja,T3,p0,neutral_reader,0.4,4,prompts/iceccme/emotion_eval_user_template_multilingual_json.md,prompts/shared/response_schema.json,True,Review overlap against any simultaneously submitted paper before execution.
24,iceccme2026_primary_neutral_v1,openai/gpt-5.4,openrouter,ja,T3,p0,neutral_reader,0.4,5,prompts/iceccme/emotion_eval_user_template_multilingual_json.md,prompts/shared/response_schema.json,True,Review overlap against any simultaneously submitted paper before execution.
25,iceccme2026_primary_neutral_v1,openai/gpt-5.4,openrouter,ja,T3,p0,neutral_reader,0.4,6,prompts/iceccme/emotion_eval_user_template_multilingual_json.md,prompts/shared/response_schema.json,True,Review overlap against any simultaneously submitted paper before execution.
26,iceccme2026_primary_neutral_v1,openai/gpt-5.4,openrouter,ja,T3,p0,neutral_reader,0.4,7,prompts/iceccme/emotion_eval_user_template_multilingual_json.md,prompts/shared/response_schema.json,True,Review overlap against any simultaneously submitted paper before execution.
27,iceccme2026_primary_neutral_v1,openai/gpt-5.4,openrouter,ja,T3,p0,neutral_reader,0.4,8,prompts/iceccme/emotion_eval_user_template_multilingual_json.md,prompts/shared/response_schema.json,True,Review overlap against any simultaneously submitted paper before execution.
28,iceccme2026_primary_neutral_v1,openai/gpt-5.4,openrouter,ja,T3,p0,neutral_reader,0.4,9,prompts/iceccme/emotion_eval_user_template_multilingual_json.md,prompts/shared/response_schema.json,True,Review overlap against any simultaneously submitted paper before execution.
29,iceccme2026_primary_neutral_v1,openai/gpt-5.4,openrouter,ja,T3,p0,neutral_reader,0.4,10,prompts/iceccme/emotion_eval_user_template_multilingual_json.md,prompts/shared/response_schema.json,True,Review overlap against any simultaneously submitted paper before execution.
110,iceccme2026_primary_neutral_v1,anthropic/claude-sonnet-4.5,openrouter,ja,T3,p0,neutral_reader,0.4,1,prompts/iceccme/emotion_eval_user_template_multilingual_json.md,prompts/shared/response_schema.json,True,Review overlap against any simultaneously submitted paper before execution.
