manifest_row,run_id,model_id,provider,language,story_id,persona_id,persona_label,temperature,repetition,prompt_template,response_schema,should_compare_to_human_primary,notes
0,iceccme2026_secondary_persona_v1,openai/gpt-5.4,openrouter,ja,T1,p1,college_freshman,0.7,1,prompts/emotion_eval_user_template_multilingual_json.md,prompts/response_schema.json,True,Review overlap against any simultaneously submitted paper before execution.
1,iceccme2026_secondary_persona_v1,openai/gpt-5.4,openrouter,ja,T1,p1,college_freshman,0.7,2,prompts/emotion_eval_user_template_multilingual_json.md,prompts/response_schema.json,True,Review overlap against any simultaneously submitted paper before execution.
2,iceccme2026_secondary_persona_v1,openai/gpt-5.4,openrouter,ja,T1,p1,college_freshman,0.7,3,prompts/emotion_eval_user_template_multilingual_json.md,prompts/response_schema.json,True,Review overlap against any simultaneously submitted paper before execution.
3,iceccme2026_secondary_persona_v1,openai/gpt-5.4,openrouter,ja,T1,p1,college_freshman,0.7,4,prompts/emotion_eval_user_template_multilingual_json.md,prompts/response_schema.json,True,Review overlap against any simultaneously submitted paper before execution.
4,iceccme2026_secondary_persona_v1,openai/gpt-5.4,openrouter,ja,T1,p1,college_freshman,0.7,5,prompts/emotion_eval_user_template_multilingual_json.md,prompts/response_schema.json,True,Review overlap against any simultaneously submitted paper before execution.
5,iceccme2026_secondary_persona_v1,openai/gpt-5.4,openrouter,ja,T1,p2,literary_scholar,0.4,1,prompts/emotion_eval_user_template_multilingual_json.md,prompts/response_schema.json,True,Review overlap against any simultaneously submitted paper before execution.
6,iceccme2026_secondary_persona_v1,openai/gpt-5.4,openrouter,ja,T1,p2,literary_scholar,0.4,2,prompts/emotion_eval_user_template_multilingual_json.md,prompts/response_schema.json,True,Review overlap against any simultaneously submitted paper before execution.
7,iceccme2026_secondary_persona_v1,openai/gpt-5.4,openrouter,ja,T1,p2,literary_scholar,0.4,3,prompts/emotion_eval_user_template_multilingual_json.md,prompts/response_schema.json,True,Review overlap against any simultaneously submitted paper before execution.
8,iceccme2026_secondary_persona_v1,openai/gpt-5.4,openrouter,ja,T1,p2,literary_scholar,0.4,4,prompts/emotion_eval_user_template_multilingual_json.md,prompts/response_schema.json,True,Review overlap against any simultaneously submitted paper before execution.
9,iceccme2026_secondary_persona_v1,openai/gpt-5.4,openrouter,ja,T1,p2,literary_scholar,0.4,5,prompts/emotion_eval_user_template_multilingual_json.md,prompts/response_schema.json,True,Review overlap against any simultaneously submitted paper before execution.
10,iceccme2026_secondary_persona_v1,openai/gpt-5.4,openrouter,ja,T1,p3,emotive_poet,0.9,1,prompts/emotion_eval_user_template_multilingual_json.md,prompts/response_schema.json,True,Review overlap against any simultaneously submitted paper before execution.
11,iceccme2026_secondary_persona_v1,openai/gpt-5.4,openrouter,ja,T1,p3,emotive_poet,0.9,2,prompts/emotion_eval_user_template_multilingual_json.md,prompts/response_schema.json,True,Review overlap against any simultaneously submitted paper before execution.
12,iceccme2026_secondary_persona_v1,openai/gpt-5.4,openrouter,ja,T1,p3,emotive_poet,0.9,3,prompts/emotion_eval_user_template_multilingual_json.md,prompts/response_schema.json,True,Review overlap against any simultaneously submitted paper before execution.
