model_id,story_id,condition_id,persona_id,temperature,temperature_label,emotion,n_attempts,n_valid_scores,mean_score,median_score,sd_score,var_score,min_score,max_score,mean_abs_dev_from_median,n_missing_scores
anthropic/claude-sonnet-4.5,T1,C01,p1,0.1,t01,anger,5,5,8.0,8.0,0.0,0.0,8.0,8.0,0.0,0
anthropic/claude-sonnet-4.5,T1,C01,p1,0.1,t01,interest,5,5,72.0,72.0,0.0,0.0,72.0,72.0,0.0,0
anthropic/claude-sonnet-4.5,T1,C01,p1,0.1,t01,sadness,5,5,15.0,15.0,0.0,0.0,15.0,15.0,0.0,0
anthropic/claude-sonnet-4.5,T1,C01,p1,0.1,t01,surprise,5,5,68.0,68.0,0.0,0.0,68.0,68.0,0.0,0
anthropic/claude-sonnet-4.5,T1,C02,p1,0.4,t04,anger,5,5,8.0,8.0,0.0,0.0,8.0,8.0,0.0,0
anthropic/claude-sonnet-4.5,T1,C02,p1,0.4,t04,interest,5,5,72.0,72.0,0.0,0.0,72.0,72.0,0.0,0
anthropic/claude-sonnet-4.5,T1,C02,p1,0.4,t04,sadness,5,5,15.0,15.0,0.0,0.0,15.0,15.0,0.0,0
anthropic/claude-sonnet-4.5,T1,C02,p1,0.4,t04,surprise,5,5,68.0,68.0,0.0,0.0,68.0,68.0,0.0,0
anthropic/claude-sonnet-4.5,T1,C03,p1,0.7,t07,anger,5,5,8.0,8.0,0.0,0.0,8.0,8.0,0.0,0
anthropic/claude-sonnet-4.5,T1,C03,p1,0.7,t07,interest,5,5,72.0,72.0,0.0,0.0,72.0,72.0,0.0,0
anthropic/claude-sonnet-4.5,T1,C03,p1,0.7,t07,sadness,5,5,15.0,15.0,0.0,0.0,15.0,15.0,0.0,0
anthropic/claude-sonnet-4.5,T1,C03,p1,0.7,t07,surprise,5,5,68.0,68.0,0.0,0.0,68.0,68.0,0.0,0
anthropic/claude-sonnet-4.5,T1,C04,p1,0.9,t09,anger,5,5,8.0,8.0,0.0,0.0,8.0,8.0,0.0,0
anthropic/claude-sonnet-4.5,T1,C04,p1,0.9,t09,interest,5,5,72.0,72.0,0.0,0.0,72.0,72.0,0.0,0
anthropic/claude-sonnet-4.5,T1,C04,p1,0.9,t09,sadness,5,5,15.0,15.0,0.0,0.0,15.0,15.0,0.0,0
anthropic/claude-sonnet-4.5,T1,C04,p1,0.9,t09,surprise,5,5,67.4,68.0,1.2,1.8,65.0,68.0,0.6,0
anthropic/claude-sonnet-4.5,T1,C05,p2,0.1,t01,anger,5,5,8.0,8.0,0.0,0.0,8.0,8.0,0.0,0
anthropic/claude-sonnet-4.5,T1,C05,p2,0.1,t01,interest,5,5,72.0,72.0,0.0,0.0,72.0,72.0,0.0,0
anthropic/claude-sonnet-4.5,T1,C05,p2,0.1,t01,sadness,5,5,15.0,15.0,0.0,0.0,15.0,15.0,0.0,0
anthropic/claude-sonnet-4.5,T1,C05,p2,0.1,t01,surprise,5,5,65.0,65.0,0.0,0.0,65.0,65.0,0.0,0
anthropic/claude-sonnet-4.5,T1,C06,p2,0.4,t04,anger,5,5,8.0,8.0,0.0,0.0,8.0,8.0,0.0,0
