manifest_row,run_id,model_id,provider,language,story_id,persona_id,persona_label,temperature,repetition,prompt_template,response_schema,should_compare_to_human_primary,notes
0,iceccme2026_primary_neutral_v1,openai/gpt-5.4,openrouter,ja,T1,p0,neutral_reader,0.4,1,prompts/iceccme/emotion_eval_user_template_multilingual_json.md,prompts/shared/response_schema.json,True,Review overlap against any simultaneously submitted paper before execution.
1,iceccme2026_primary_neutral_v1,openai/gpt-5.4,openrouter,ja,T1,p0,neutral_reader,0.4,2,prompts/iceccme/emotion_eval_user_template_multilingual_json.md,prompts/shared/response_schema.json,True,Review overlap against any simultaneously submitted paper before execution.
2,iceccme2026_primary_neutral_v1,openai/gpt-5.4,openrouter,ja,T1,p0,neutral_reader,0.4,3,prompts/iceccme/emotion_eval_user_template_multilingual_json.md,prompts/shared/response_schema.json,True,Review overlap against any simultaneously submitted paper before execution.
3,iceccme2026_primary_neutral_v1,openai/gpt-5.4,openrouter,ja,T1,p0,neutral_reader,0.4,4,prompts/iceccme/emotion_eval_user_template_multilingual_json.md,prompts/shared/response_schema.json,True,Review overlap against any simultaneously submitted paper before execution.
4,iceccme2026_primary_neutral_v1,openai/gpt-5.4,openrouter,ja,T1,p0,neutral_reader,0.4,5,prompts/iceccme/emotion_eval_user_template_multilingual_json.md,prompts/shared/response_schema.json,True,Review overlap against any simultaneously submitted paper before execution.
5,iceccme2026_primary_neutral_v1,openai/gpt-5.4,openrouter,ja,T1,p0,neutral_reader,0.4,6,prompts/iceccme/emotion_eval_user_template_multilingual_json.md,prompts/shared/response_schema.json,True,Review overlap against any simultaneously submitted paper before execution.
6,iceccme2026_primary_neutral_v1,openai/gpt-5.4,openrouter,ja,T1,p0,neutral_reader,0.4,7,prompts/iceccme/emotion_eval_user_template_multilingual_json.md,prompts/shared/response_schema.json,True,Review overlap against any simultaneously submitted paper before execution.
7,iceccme2026_primary_neutral_v1,openai/gpt-5.4,openrouter,ja,T1,p0,neutral_reader,0.4,8,prompts/iceccme/emotion_eval_user_template_multilingual_json.md,prompts/shared/response_schema.json,True,Review overlap against any simultaneously submitted paper before execution.
8,iceccme2026_primary_neutral_v1,openai/gpt-5.4,openrouter,ja,T1,p0,neutral_reader,0.4,9,prompts/iceccme/emotion_eval_user_template_multilingual_json.md,prompts/shared/response_schema.json,True,Review overlap against any simultaneously submitted paper before execution.
9,iceccme2026_primary_neutral_v1,openai/gpt-5.4,openrouter,ja,T1,p0,neutral_reader,0.4,10,prompts/iceccme/emotion_eval_user_template_multilingual_json.md,prompts/shared/response_schema.json,True,Review overlap against any simultaneously submitted paper before execution.
10,iceccme2026_primary_neutral_v1,openai/gpt-5.4,openrouter,ja,T2,p0,neutral_reader,0.4,1,prompts/iceccme/emotion_eval_user_template_multilingual_json.md,prompts/shared/response_schema.json,True,Review overlap against any simultaneously submitted paper before execution.
11,iceccme2026_primary_neutral_v1,openai/gpt-5.4,openrouter,ja,T2,p0,neutral_reader,0.4,2,prompts/iceccme/emotion_eval_user_template_multilingual_json.md,prompts/shared/response_schema.json,True,Review overlap against any simultaneously submitted paper before execution.
12,iceccme2026_primary_neutral_v1,openai/gpt-5.4,openrouter,ja,T2,p0,neutral_reader,0.4,3,prompts/iceccme/emotion_eval_user_template_multilingual_json.md,prompts/shared/response_schema.json,True,Review overlap against any simultaneously submitted paper before execution.
13,iceccme2026_primary_neutral_v1,openai/gpt-5.4,openrouter,ja,T2,p0,neutral_reader,0.4,4,prompts/iceccme/emotion_eval_user_template_multilingual_json.md,prompts/shared/response_schema.json,True,Review overlap against any simultaneously submitted paper before execution.
14,iceccme2026_primary_neutral_v1,openai/gpt-5.4,openrouter,ja,T2,p0,neutral_reader,0.4,5,prompts/iceccme/emotion_eval_user_template_multilingual_json.md,prompts/shared/response_schema.json,True,Review overlap against any simultaneously submitted paper before execution.
15,iceccme2026_primary_neutral_v1,openai/gpt-5.4,openrouter,ja,T2,p0,neutral_reader,0.4,6,prompts/iceccme/emotion_eval_user_template_multilingual_json.md,prompts/shared/response_schema.json,True,Review overlap against any simultaneously submitted paper before execution.
16,iceccme2026_primary_neutral_v1,openai/gpt-5.4,openrouter,ja,T2,p0,neutral_reader,0.4,7,prompts/iceccme/emotion_eval_user_template_multilingual_json.md,prompts/shared/response_schema.json,True,Review overlap against any simultaneously submitted paper before execution.
17,iceccme2026_primary_neutral_v1,openai/gpt-5.4,openrouter,ja,T2,p0,neutral_reader,0.4,8,prompts/iceccme/emotion_eval_user_template_multilingual_json.md,prompts/shared/response_schema.json,True,Review overlap against any simultaneously submitted paper before execution.
18,iceccme2026_primary_neutral_v1,openai/gpt-5.4,openrouter,ja,T2,p0,neutral_reader,0.4,9,prompts/iceccme/emotion_eval_user_template_multilingual_json.md,prompts/shared/response_schema.json,True,Review overlap against any simultaneously submitted paper before execution.
19,iceccme2026_primary_neutral_v1,openai/gpt-5.4,openrouter,ja,T2,p0,neutral_reader,0.4,10,prompts/iceccme/emotion_eval_user_template_multilingual_json.md,prompts/shared/response_schema.json,True,Review overlap against any simultaneously submitted paper before execution.
20,iceccme2026_primary_neutral_v1,openai/gpt-5.4,openrouter,ja,T3,p0,neutral_reader,0.4,1,prompts/iceccme/emotion_eval_user_template_multilingual_json.md,prompts/shared/response_schema.json,True,Review overlap against any simultaneously submitted paper before execution.
21,iceccme2026_primary_neutral_v1,openai/gpt-5.4,openrouter,ja,T3,p0,neutral_reader,0.4,2,prompts/iceccme/emotion_eval_user_template_multilingual_json.md,prompts/shared/response_schema.json,True,Review overlap against any simultaneously submitted paper before execution.
22,iceccme2026_primary_neutral_v1,openai/gpt-5.4,openrouter,ja,T3,p0,neutral_reader,0.4,3,prompts/iceccme/emotion_eval_user_template_multilingual_json.md,prompts/shared/response_schema.json,True,Review overlap against any simultaneously submitted paper before execution.
23,iceccme2026_primary_neutral_v1,openai/gpt-5.4,openrouter,ja,T3,p0,neutral_reader,0.4,4,prompts/iceccme/emotion_eval_user_template_multilingual_json.md,prompts/shared/response_schema.json,True,Review overlap against any simultaneously submitted paper before execution.
24,iceccme2026_primary_neutral_v1,openai/gpt-5.4,openrouter,ja,T3,p0,neutral_reader,0.4,5,prompts/iceccme/emotion_eval_user_template_multilingual_json.md,prompts/shared/response_schema.json,True,Review overlap against any simultaneously submitted paper before execution.
25,iceccme2026_primary_neutral_v1,openai/gpt-5.4,openrouter,ja,T3,p0,neutral_reader,0.4,6,prompts/iceccme/emotion_eval_user_template_multilingual_json.md,prompts/shared/response_schema.json,True,Review overlap against any simultaneously submitted paper before execution.
26,iceccme2026_primary_neutral_v1,openai/gpt-5.4,openrouter,ja,T3,p0,neutral_reader,0.4,7,prompts/iceccme/emotion_eval_user_template_multilingual_json.md,prompts/shared/response_schema.json,True,Review overlap against any simultaneously submitted paper before execution.
27,iceccme2026_primary_neutral_v1,openai/gpt-5.4,openrouter,ja,T3,p0,neutral_reader,0.4,8,prompts/iceccme/emotion_eval_user_template_multilingual_json.md,prompts/shared/response_schema.json,True,Review overlap against any simultaneously submitted paper before execution.
28,iceccme2026_primary_neutral_v1,openai/gpt-5.4,openrouter,ja,T3,p0,neutral_reader,0.4,9,prompts/iceccme/emotion_eval_user_template_multilingual_json.md,prompts/shared/response_schema.json,True,Review overlap against any simultaneously submitted paper before execution.
29,iceccme2026_primary_neutral_v1,openai/gpt-5.4,openrouter,ja,T3,p0,neutral_reader,0.4,10,prompts/iceccme/emotion_eval_user_template_multilingual_json.md,prompts/shared/response_schema.json,True,Review overlap against any simultaneously submitted paper before execution.
30,iceccme2026_primary_neutral_v1,openai/gpt-5.4,openrouter,en,T1,p0,neutral_reader,0.4,1,prompts/iceccme/emotion_eval_user_template_multilingual_json.md,prompts/shared/response_schema.json,False,Review overlap against any simultaneously submitted paper before execution.
31,iceccme2026_primary_neutral_v1,openai/gpt-5.4,openrouter,en,T1,p0,neutral_reader,0.4,2,prompts/iceccme/emotion_eval_user_template_multilingual_json.md,prompts/shared/response_schema.json,False,Review overlap against any simultaneously submitted paper before execution.
32,iceccme2026_primary_neutral_v1,openai/gpt-5.4,openrouter,en,T1,p0,neutral_reader,0.4,3,prompts/iceccme/emotion_eval_user_template_multilingual_json.md,prompts/shared/response_schema.json,False,Review overlap against any simultaneously submitted paper before execution.
33,iceccme2026_primary_neutral_v1,openai/gpt-5.4,openrouter,en,T1,p0,neutral_reader,0.4,4,prompts/iceccme/emotion_eval_user_template_multilingual_json.md,prompts/shared/response_schema.json,False,Review overlap against any simultaneously submitted paper before execution.
34,iceccme2026_primary_neutral_v1,openai/gpt-5.4,openrouter,en,T1,p0,neutral_reader,0.4,5,prompts/iceccme/emotion_eval_user_template_multilingual_json.md,prompts/shared/response_schema.json,False,Review overlap against any simultaneously submitted paper before execution.
35,iceccme2026_primary_neutral_v1,openai/gpt-5.4,openrouter,en,T1,p0,neutral_reader,0.4,6,prompts/iceccme/emotion_eval_user_template_multilingual_json.md,prompts/shared/response_schema.json,False,Review overlap against any simultaneously submitted paper before execution.
