manifest_row,run_id,model_id,provider,language,story_id,persona_id,persona_label,temperature,repetition,prompt_template,response_schema,should_compare_to_human_primary,notes
180,iceccme2026_primary_neutral_v1,google/gemini-2.5-pro,openrouter,ja,T1,p0,neutral_reader,0.4,1,prompts/iceccme/emotion_eval_user_template_multilingual_json.md,prompts/shared/response_schema.json,True,Review overlap against any simultaneously submitted paper before execution.
181,iceccme2026_primary_neutral_v1,google/gemini-2.5-pro,openrouter,ja,T1,p0,neutral_reader,0.4,2,prompts/iceccme/emotion_eval_user_template_multilingual_json.md,prompts/shared/response_schema.json,True,Review overlap against any simultaneously submitted paper before execution.
182,iceccme2026_primary_neutral_v1,google/gemini-2.5-pro,openrouter,ja,T1,p0,neutral_reader,0.4,3,prompts/iceccme/emotion_eval_user_template_multilingual_json.md,prompts/shared/response_schema.json,True,Review overlap against any simultaneously submitted paper before execution.
183,iceccme2026_primary_neutral_v1,google/gemini-2.5-pro,openrouter,ja,T1,p0,neutral_reader,0.4,4,prompts/iceccme/emotion_eval_user_template_multilingual_json.md,prompts/shared/response_schema.json,True,Review overlap against any simultaneously submitted paper before execution.
184,iceccme2026_primary_neutral_v1,google/gemini-2.5-pro,openrouter,ja,T1,p0,neutral_reader,0.4,5,prompts/iceccme/emotion_eval_user_template_multilingual_json.md,prompts/shared/response_schema.json,True,Review overlap against any simultaneously submitted paper before execution.
185,iceccme2026_primary_neutral_v1,google/gemini-2.5-pro,openrouter,ja,T1,p0,neutral_reader,0.4,6,prompts/iceccme/emotion_eval_user_template_multilingual_json.md,prompts/shared/response_schema.json,True,Review overlap against any simultaneously submitted paper before execution.
186,iceccme2026_primary_neutral_v1,google/gemini-2.5-pro,openrouter,ja,T1,p0,neutral_reader,0.4,7,prompts/iceccme/emotion_eval_user_template_multilingual_json.md,prompts/shared/response_schema.json,True,Review overlap against any simultaneously submitted paper before execution.
187,iceccme2026_primary_neutral_v1,google/gemini-2.5-pro,openrouter,ja,T1,p0,neutral_reader,0.4,8,prompts/iceccme/emotion_eval_user_template_multilingual_json.md,prompts/shared/response_schema.json,True,Review overlap against any simultaneously submitted paper before execution.
188,iceccme2026_primary_neutral_v1,google/gemini-2.5-pro,openrouter,ja,T1,p0,neutral_reader,0.4,9,prompts/iceccme/emotion_eval_user_template_multilingual_json.md,prompts/shared/response_schema.json,True,Review overlap against any simultaneously submitted paper before execution.
189,iceccme2026_primary_neutral_v1,google/gemini-2.5-pro,openrouter,ja,T1,p0,neutral_reader,0.4,10,prompts/iceccme/emotion_eval_user_template_multilingual_json.md,prompts/shared/response_schema.json,True,Review overlap against any simultaneously submitted paper before execution.
190,iceccme2026_primary_neutral_v1,google/gemini-2.5-pro,openrouter,ja,T2,p0,neutral_reader,0.4,1,prompts/iceccme/emotion_eval_user_template_multilingual_json.md,prompts/shared/response_schema.json,True,Review overlap against any simultaneously submitted paper before execution.
191,iceccme2026_primary_neutral_v1,google/gemini-2.5-pro,openrouter,ja,T2,p0,neutral_reader,0.4,2,prompts/iceccme/emotion_eval_user_template_multilingual_json.md,prompts/shared/response_schema.json,True,Review overlap against any simultaneously submitted paper before execution.
192,iceccme2026_primary_neutral_v1,google/gemini-2.5-pro,openrouter,ja,T2,p0,neutral_reader,0.4,3,prompts/iceccme/emotion_eval_user_template_multilingual_json.md,prompts/shared/response_schema.json,True,Review overlap against any simultaneously submitted paper before execution.
193,iceccme2026_primary_neutral_v1,google/gemini-2.5-pro,openrouter,ja,T2,p0,neutral_reader,0.4,4,prompts/iceccme/emotion_eval_user_template_multilingual_json.md,prompts/shared/response_schema.json,True,Review overlap against any simultaneously submitted paper before execution.
194,iceccme2026_primary_neutral_v1,google/gemini-2.5-pro,openrouter,ja,T2,p0,neutral_reader,0.4,5,prompts/iceccme/emotion_eval_user_template_multilingual_json.md,prompts/shared/response_schema.json,True,Review overlap against any simultaneously submitted paper before execution.
195,iceccme2026_primary_neutral_v1,google/gemini-2.5-pro,openrouter,ja,T2,p0,neutral_reader,0.4,6,prompts/iceccme/emotion_eval_user_template_multilingual_json.md,prompts/shared/response_schema.json,True,Review overlap against any simultaneously submitted paper before execution.
196,iceccme2026_primary_neutral_v1,google/gemini-2.5-pro,openrouter,ja,T2,p0,neutral_reader,0.4,7,prompts/iceccme/emotion_eval_user_template_multilingual_json.md,prompts/shared/response_schema.json,True,Review overlap against any simultaneously submitted paper before execution.
197,iceccme2026_primary_neutral_v1,google/gemini-2.5-pro,openrouter,ja,T2,p0,neutral_reader,0.4,8,prompts/iceccme/emotion_eval_user_template_multilingual_json.md,prompts/shared/response_schema.json,True,Review overlap against any simultaneously submitted paper before execution.
198,iceccme2026_primary_neutral_v1,google/gemini-2.5-pro,openrouter,ja,T2,p0,neutral_reader,0.4,9,prompts/iceccme/emotion_eval_user_template_multilingual_json.md,prompts/shared/response_schema.json,True,Review overlap against any simultaneously submitted paper before execution.
199,iceccme2026_primary_neutral_v1,google/gemini-2.5-pro,openrouter,ja,T2,p0,neutral_reader,0.4,10,prompts/iceccme/emotion_eval_user_template_multilingual_json.md,prompts/shared/response_schema.json,True,Review overlap against any simultaneously submitted paper before execution.
200,iceccme2026_primary_neutral_v1,google/gemini-2.5-pro,openrouter,ja,T3,p0,neutral_reader,0.4,1,prompts/iceccme/emotion_eval_user_template_multilingual_json.md,prompts/shared/response_schema.json,True,Review overlap against any simultaneously submitted paper before execution.
201,iceccme2026_primary_neutral_v1,google/gemini-2.5-pro,openrouter,ja,T3,p0,neutral_reader,0.4,2,prompts/iceccme/emotion_eval_user_template_multilingual_json.md,prompts/shared/response_schema.json,True,Review overlap against any simultaneously submitted paper before execution.
202,iceccme2026_primary_neutral_v1,google/gemini-2.5-pro,openrouter,ja,T3,p0,neutral_reader,0.4,3,prompts/iceccme/emotion_eval_user_template_multilingual_json.md,prompts/shared/response_schema.json,True,Review overlap against any simultaneously submitted paper before execution.
203,iceccme2026_primary_neutral_v1,google/gemini-2.5-pro,openrouter,ja,T3,p0,neutral_reader,0.4,4,prompts/iceccme/emotion_eval_user_template_multilingual_json.md,prompts/shared/response_schema.json,True,Review overlap against any simultaneously submitted paper before execution.
204,iceccme2026_primary_neutral_v1,google/gemini-2.5-pro,openrouter,ja,T3,p0,neutral_reader,0.4,5,prompts/iceccme/emotion_eval_user_template_multilingual_json.md,prompts/shared/response_schema.json,True,Review overlap against any simultaneously submitted paper before execution.
205,iceccme2026_primary_neutral_v1,google/gemini-2.5-pro,openrouter,ja,T3,p0,neutral_reader,0.4,6,prompts/iceccme/emotion_eval_user_template_multilingual_json.md,prompts/shared/response_schema.json,True,Review overlap against any simultaneously submitted paper before execution.
206,iceccme2026_primary_neutral_v1,google/gemini-2.5-pro,openrouter,ja,T3,p0,neutral_reader,0.4,7,prompts/iceccme/emotion_eval_user_template_multilingual_json.md,prompts/shared/response_schema.json,True,Review overlap against any simultaneously submitted paper before execution.
207,iceccme2026_primary_neutral_v1,google/gemini-2.5-pro,openrouter,ja,T3,p0,neutral_reader,0.4,8,prompts/iceccme/emotion_eval_user_template_multilingual_json.md,prompts/shared/response_schema.json,True,Review overlap against any simultaneously submitted paper before execution.
208,iceccme2026_primary_neutral_v1,google/gemini-2.5-pro,openrouter,ja,T3,p0,neutral_reader,0.4,9,prompts/iceccme/emotion_eval_user_template_multilingual_json.md,prompts/shared/response_schema.json,True,Review overlap against any simultaneously submitted paper before execution.
209,iceccme2026_primary_neutral_v1,google/gemini-2.5-pro,openrouter,ja,T3,p0,neutral_reader,0.4,10,prompts/iceccme/emotion_eval_user_template_multilingual_json.md,prompts/shared/response_schema.json,True,Review overlap against any simultaneously submitted paper before execution.
210,iceccme2026_primary_neutral_v1,google/gemini-2.5-pro,openrouter,en,T1,p0,neutral_reader,0.4,1,prompts/iceccme/emotion_eval_user_template_multilingual_json.md,prompts/shared/response_schema.json,False,Review overlap against any simultaneously submitted paper before execution.
211,iceccme2026_primary_neutral_v1,google/gemini-2.5-pro,openrouter,en,T1,p0,neutral_reader,0.4,2,prompts/iceccme/emotion_eval_user_template_multilingual_json.md,prompts/shared/response_schema.json,False,Review overlap against any simultaneously submitted paper before execution.
212,iceccme2026_primary_neutral_v1,google/gemini-2.5-pro,openrouter,en,T1,p0,neutral_reader,0.4,3,prompts/iceccme/emotion_eval_user_template_multilingual_json.md,prompts/shared/response_schema.json,False,Review overlap against any simultaneously submitted paper before execution.
213,iceccme2026_primary_neutral_v1,google/gemini-2.5-pro,openrouter,en,T1,p0,neutral_reader,0.4,4,prompts/iceccme/emotion_eval_user_template_multilingual_json.md,prompts/shared/response_schema.json,False,Review overlap against any simultaneously submitted paper before execution.
214,iceccme2026_primary_neutral_v1,google/gemini-2.5-pro,openrouter,en,T1,p0,neutral_reader,0.4,5,prompts/iceccme/emotion_eval_user_template_multilingual_json.md,prompts/shared/response_schema.json,False,Review overlap against any simultaneously submitted paper before execution.
215,iceccme2026_primary_neutral_v1,google/gemini-2.5-pro,openrouter,en,T1,p0,neutral_reader,0.4,6,prompts/iceccme/emotion_eval_user_template_multilingual_json.md,prompts/shared/response_schema.json,False,Review overlap against any simultaneously submitted paper before execution.
216,iceccme2026_primary_neutral_v1,google/gemini-2.5-pro,openrouter,en,T1,p0,neutral_reader,0.4,7,prompts/iceccme/emotion_eval_user_template_multilingual_json.md,prompts/shared/response_schema.json,False,Review overlap against any simultaneously submitted paper before execution.
217,iceccme2026_primary_neutral_v1,google/gemini-2.5-pro,openrouter,en,T1,p0,neutral_reader,0.4,8,prompts/iceccme/emotion_eval_user_template_multilingual_json.md,prompts/shared/response_schema.json,False,Review overlap against any simultaneously submitted paper before execution.
218,iceccme2026_primary_neutral_v1,google/gemini-2.5-pro,openrouter,en,T1,p0,neutral_reader,0.4,9,prompts/iceccme/emotion_eval_user_template_multilingual_json.md,prompts/shared/response_schema.json,False,Review overlap against any simultaneously submitted paper before execution.
219,iceccme2026_primary_neutral_v1,google/gemini-2.5-pro,openrouter,en,T1,p0,neutral_reader,0.4,10,prompts/iceccme/emotion_eval_user_template_multilingual_json.md,prompts/shared/response_schema.json,False,Review overlap against any simultaneously submitted paper before execution.
220,iceccme2026_primary_neutral_v1,google/gemini-2.5-pro,openrouter,en,T2,p0,neutral_reader,0.4,1,prompts/iceccme/emotion_eval_user_template_multilingual_json.md,prompts/shared/response_schema.json,False,Review overlap against any simultaneously submitted paper before execution.
221,iceccme2026_primary_neutral_v1,google/gemini-2.5-pro,openrouter,en,T2,p0,neutral_reader,0.4,2,prompts/iceccme/emotion_eval_user_template_multilingual_json.md,prompts/shared/response_schema.json,False,Review overlap against any simultaneously submitted paper before execution.
222,iceccme2026_primary_neutral_v1,google/gemini-2.5-pro,openrouter,en,T2,p0,neutral_reader,0.4,3,prompts/iceccme/emotion_eval_user_template_multilingual_json.md,prompts/shared/response_schema.json,False,Review overlap against any simultaneously submitted paper before execution.
223,iceccme2026_primary_neutral_v1,google/gemini-2.5-pro,openrouter,en,T2,p0,neutral_reader,0.4,4,prompts/iceccme/emotion_eval_user_template_multilingual_json.md,prompts/shared/response_schema.json,False,Review overlap against any simultaneously submitted paper before execution.
224,iceccme2026_primary_neutral_v1,google/gemini-2.5-pro,openrouter,en,T2,p0,neutral_reader,0.4,5,prompts/iceccme/emotion_eval_user_template_multilingual_json.md,prompts/shared/response_schema.json,False,Review overlap against any simultaneously submitted paper before execution.
225,iceccme2026_primary_neutral_v1,google/gemini-2.5-pro,openrouter,en,T2,p0,neutral_reader,0.4,6,prompts/iceccme/emotion_eval_user_template_multilingual_json.md,prompts/shared/response_schema.json,False,Review overlap against any simultaneously submitted paper before execution.
226,iceccme2026_primary_neutral_v1,google/gemini-2.5-pro,openrouter,en,T2,p0,neutral_reader,0.4,7,prompts/iceccme/emotion_eval_user_template_multilingual_json.md,prompts/shared/response_schema.json,False,Review overlap against any simultaneously submitted paper before execution.
227,iceccme2026_primary_neutral_v1,google/gemini-2.5-pro,openrouter,en,T2,p0,neutral_reader,0.4,8,prompts/iceccme/emotion_eval_user_template_multilingual_json.md,prompts/shared/response_schema.json,False,Review overlap against any simultaneously submitted paper before execution.
228,iceccme2026_primary_neutral_v1,google/gemini-2.5-pro,openrouter,en,T2,p0,neutral_reader,0.4,9,prompts/iceccme/emotion_eval_user_template_multilingual_json.md,prompts/shared/response_schema.json,False,Review overlap against any simultaneously submitted paper before execution.
229,iceccme2026_primary_neutral_v1,google/gemini-2.5-pro,openrouter,en,T2,p0,neutral_reader,0.4,10,prompts/iceccme/emotion_eval_user_template_multilingual_json.md,prompts/shared/response_schema.json,False,Review overlap against any simultaneously submitted paper before execution.
230,iceccme2026_primary_neutral_v1,google/gemini-2.5-pro,openrouter,en,T3,p0,neutral_reader,0.4,1,prompts/iceccme/emotion_eval_user_template_multilingual_json.md,prompts/shared/response_schema.json,False,Review overlap against any simultaneously submitted paper before execution.
231,iceccme2026_primary_neutral_v1,google/gemini-2.5-pro,openrouter,en,T3,p0,neutral_reader,0.4,2,prompts/iceccme/emotion_eval_user_template_multilingual_json.md,prompts/shared/response_schema.json,False,Review overlap against any simultaneously submitted paper before execution.
232,iceccme2026_primary_neutral_v1,google/gemini-2.5-pro,openrouter,en,T3,p0,neutral_reader,0.4,3,prompts/iceccme/emotion_eval_user_template_multilingual_json.md,prompts/shared/response_schema.json,False,Review overlap against any simultaneously submitted paper before execution.
233,iceccme2026_primary_neutral_v1,google/gemini-2.5-pro,openrouter,en,T3,p0,neutral_reader,0.4,4,prompts/iceccme/emotion_eval_user_template_multilingual_json.md,prompts/shared/response_schema.json,False,Review overlap against any simultaneously submitted paper before execution.
234,iceccme2026_primary_neutral_v1,google/gemini-2.5-pro,openrouter,en,T3,p0,neutral_reader,0.4,5,prompts/iceccme/emotion_eval_user_template_multilingual_json.md,prompts/shared/response_schema.json,False,Review overlap against any simultaneously submitted paper before execution.
235,iceccme2026_primary_neutral_v1,google/gemini-2.5-pro,openrouter,en,T3,p0,neutral_reader,0.4,6,prompts/iceccme/emotion_eval_user_template_multilingual_json.md,prompts/shared/response_schema.json,False,Review overlap against any simultaneously submitted paper before execution.
236,iceccme2026_primary_neutral_v1,google/gemini-2.5-pro,openrouter,en,T3,p0,neutral_reader,0.4,7,prompts/iceccme/emotion_eval_user_template_multilingual_json.md,prompts/shared/response_schema.json,False,Review overlap against any simultaneously submitted paper before execution.
237,iceccme2026_primary_neutral_v1,google/gemini-2.5-pro,openrouter,en,T3,p0,neutral_reader,0.4,8,prompts/iceccme/emotion_eval_user_template_multilingual_json.md,prompts/shared/response_schema.json,False,Review overlap against any simultaneously submitted paper before execution.
238,iceccme2026_primary_neutral_v1,google/gemini-2.5-pro,openrouter,en,T3,p0,neutral_reader,0.4,9,prompts/iceccme/emotion_eval_user_template_multilingual_json.md,prompts/shared/response_schema.json,False,Review overlap against any simultaneously submitted paper before execution.
239,iceccme2026_primary_neutral_v1,google/gemini-2.5-pro,openrouter,en,T3,p0,neutral_reader,0.4,10,prompts/iceccme/emotion_eval_user_template_multilingual_json.md,prompts/shared/response_schema.json,False,Review overlap against any simultaneously submitted paper before execution.
240,iceccme2026_primary_neutral_v1,google/gemini-2.5-pro,openrouter,zh,T1,p0,neutral_reader,0.4,1,prompts/iceccme/emotion_eval_user_template_multilingual_json.md,prompts/shared/response_schema.json,False,Review overlap against any simultaneously submitted paper before execution.
241,iceccme2026_primary_neutral_v1,google/gemini-2.5-pro,openrouter,zh,T1,p0,neutral_reader,0.4,2,prompts/iceccme/emotion_eval_user_template_multilingual_json.md,prompts/shared/response_schema.json,False,Review overlap against any simultaneously submitted paper before execution.
242,iceccme2026_primary_neutral_v1,google/gemini-2.5-pro,openrouter,zh,T1,p0,neutral_reader,0.4,3,prompts/iceccme/emotion_eval_user_template_multilingual_json.md,prompts/shared/response_schema.json,False,Review overlap against any simultaneously submitted paper before execution.
243,iceccme2026_primary_neutral_v1,google/gemini-2.5-pro,openrouter,zh,T1,p0,neutral_reader,0.4,4,prompts/iceccme/emotion_eval_user_template_multilingual_json.md,prompts/shared/response_schema.json,False,Review overlap against any simultaneously submitted paper before execution.
244,iceccme2026_primary_neutral_v1,google/gemini-2.5-pro,openrouter,zh,T1,p0,neutral_reader,0.4,5,prompts/iceccme/emotion_eval_user_template_multilingual_json.md,prompts/shared/response_schema.json,False,Review overlap against any simultaneously submitted paper before execution.
245,iceccme2026_primary_neutral_v1,google/gemini-2.5-pro,openrouter,zh,T1,p0,neutral_reader,0.4,6,prompts/iceccme/emotion_eval_user_template_multilingual_json.md,prompts/shared/response_schema.json,False,Review overlap against any simultaneously submitted paper before execution.
246,iceccme2026_primary_neutral_v1,google/gemini-2.5-pro,openrouter,zh,T1,p0,neutral_reader,0.4,7,prompts/iceccme/emotion_eval_user_template_multilingual_json.md,prompts/shared/response_schema.json,False,Review overlap against any simultaneously submitted paper before execution.
247,iceccme2026_primary_neutral_v1,google/gemini-2.5-pro,openrouter,zh,T1,p0,neutral_reader,0.4,8,prompts/iceccme/emotion_eval_user_template_multilingual_json.md,prompts/shared/response_schema.json,False,Review overlap against any simultaneously submitted paper before execution.
248,iceccme2026_primary_neutral_v1,google/gemini-2.5-pro,openrouter,zh,T1,p0,neutral_reader,0.4,9,prompts/iceccme/emotion_eval_user_template_multilingual_json.md,prompts/shared/response_schema.json,False,Review overlap against any simultaneously submitted paper before execution.
249,iceccme2026_primary_neutral_v1,google/gemini-2.5-pro,openrouter,zh,T1,p0,neutral_reader,0.4,10,prompts/iceccme/emotion_eval_user_template_multilingual_json.md,prompts/shared/response_schema.json,False,Review overlap against any simultaneously submitted paper before execution.
250,iceccme2026_primary_neutral_v1,google/gemini-2.5-pro,openrouter,zh,T2,p0,neutral_reader,0.4,1,prompts/iceccme/emotion_eval_user_template_multilingual_json.md,prompts/shared/response_schema.json,False,Review overlap against any simultaneously submitted paper before execution.
251,iceccme2026_primary_neutral_v1,google/gemini-2.5-pro,openrouter,zh,T2,p0,neutral_reader,0.4,2,prompts/iceccme/emotion_eval_user_template_multilingual_json.md,prompts/shared/response_schema.json,False,Review overlap against any simultaneously submitted paper before execution.
252,iceccme2026_primary_neutral_v1,google/gemini-2.5-pro,openrouter,zh,T2,p0,neutral_reader,0.4,3,prompts/iceccme/emotion_eval_user_template_multilingual_json.md,prompts/shared/response_schema.json,False,Review overlap against any simultaneously submitted paper before execution.
253,iceccme2026_primary_neutral_v1,google/gemini-2.5-pro,openrouter,zh,T2,p0,neutral_reader,0.4,4,prompts/iceccme/emotion_eval_user_template_multilingual_json.md,prompts/shared/response_schema.json,False,Review overlap against any simultaneously submitted paper before execution.
254,iceccme2026_primary_neutral_v1,google/gemini-2.5-pro,openrouter,zh,T2,p0,neutral_reader,0.4,5,prompts/iceccme/emotion_eval_user_template_multilingual_json.md,prompts/shared/response_schema.json,False,Review overlap against any simultaneously submitted paper before execution.
255,iceccme2026_primary_neutral_v1,google/gemini-2.5-pro,openrouter,zh,T2,p0,neutral_reader,0.4,6,prompts/iceccme/emotion_eval_user_template_multilingual_json.md,prompts/shared/response_schema.json,False,Review overlap against any simultaneously submitted paper before execution.
256,iceccme2026_primary_neutral_v1,google/gemini-2.5-pro,openrouter,zh,T2,p0,neutral_reader,0.4,7,prompts/iceccme/emotion_eval_user_template_multilingual_json.md,prompts/shared/response_schema.json,False,Review overlap against any simultaneously submitted paper before execution.
